airport_icao;visibility;wind_speed;wind_direction;rvr;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
KIAD;10.0;6;180;>6000 ;19;L;CAT III;5.9;1.0;-1.0;None;1;0;0;1
KIAD;10.0;6;180;>6000 ;19;C;CAT III;5.9;1.0;-1.0;None;1;0;0;1
KIAD;10.0;6;180;>6000 ;19;R;CAT III;5.9;1.0;-1.0;None;1;0;0;1
KLAX;10.0;4;40;>6000 ;6;R;No ILS;3.8;1.4;-1.0;None;0;1;1;0
KSFO;10.0;8;260;>6000 ;28;L;CAT III;7.5;2.7;-1.0;None;1;0;0;0
KATL;10.0;0;0;>6000 ;27;L;No ILS;0.0;0.0;-1.0;None;0;0;0;1
KORD;10.0;5;310;>6000 ;28;R;CAT III;4.3;2.5;5000.0;None;1;0;0;0
KSFO;10.0;5;260;>6000 ;28;L;CAT III;4.7;1.7;-1.0;None;1;0;0;0
KSFO;10.0;5;260;>6000 ;28;L;CAT III;4.7;1.7;-1.0;None;1;0;0;0
KATL;10.0;0;0;>6000 ;26;R;No ILS;0.0;0.0;-1.0;None;0;0;0;1
KATL;10.0;0;0;>6000 ;27;L;No ILS;0.0;0.0;-1.0;None;0;0;0;1
KATL;10.0;0;0;>6000 ;28;X;No ILS;0.0;0.0;-1.0;None;0;0;0;1
KLAX;10.0;3;50;>6000 ;6;R;No ILS;3.0;0.5;-1.0;None;0;1;1;0
KORD;10.0;4;210;>6000 ;28;R;CAT III;1.4;3.8;5000.0;None;1;0;0;0
KIAD;10.0;3;150;>6000 ;19;L;CAT III;2.3;1.9;-1.0;None;1;0;0;1
KIAD;10.0;3;150;>6000 ;19;R;CAT III;2.3;1.9;-1.0;None;1;0;0;1
KSFO;10.0;3;270;>6000 ;28;L;CAT III;3.0;0.5;-1.0;None;1;0;0;0
KLAX;10.0;5;70;>6000 ;6;R;No ILS;4.9;0.9;-1.0;None;0;1;1;0
KJFK;10.0;4;160;>6000 ;22;L;CAT III;2.0;3.5;22000.0;None;1;0;0;0
KJFK;10.0;4;160;>6000 ;22;R;CAT III;2.0;3.5;22000.0;None;1;0;0;0
KATL;10.0;3;240;>6000 ;26;R;No ILS;2.8;1.0;-1.0;None;0;0;0;1
KATL;10.0;3;240;>6000 ;27;L;No ILS;2.6;1.5;-1.0;None;0;0;0;1
KATL;10.0;3;240;>6000 ;28;X;No ILS;2.3;1.9;-1.0;None;0;0;0;1
KORD;10.0;4;240;>6000 ;27;C;CAT III;3.5;2.0;-1.0;None;1;0;0;0
KORD;10.0;4;240;>6000 ;27;R;CAT III;3.5;2.0;-1.0;None;1;0;0;0
KORD;10.0;4;240;>6000 ;28;C;CAT III;3.1;2.6;-1.0;None;1;0;0;0
KJFK;10.0;7;190;>6000 ;22;L;CAT III;6.1;3.5;24000.0;None;1;0;0;0
KJFK;10.0;7;190;>6000 ;22;R;CAT III;6.1;3.5;24000.0;None;1;0;0;0
KATL;8.0;3;240;>6000 ;26;R;No ILS;2.8;1.0;-1.0;None;0;0;0;1
KATL;8.0;3;240;>6000 ;27;L;No ILS;2.6;1.5;-1.0;None;0;0;0;1
KATL;8.0;3;240;>6000 ;28;X;No ILS;2.3;1.9;-1.0;None;0;0;0;1
KORD;10.0;4;250;>6000 ;27;C;CAT III;3.8;1.4;-1.0;None;1;0;0;0
KORD;10.0;4;250;>6000 ;27;R;CAT III;3.8;1.4;-1.0;None;1;0;0;0
KORD;10.0;4;250;>6000 ;28;C;CAT III;3.5;2.0;-1.0;None;1;0;0;0
KSFO;10.0;4;260;5500 ;28;R;CAT III;3.8;1.4;-1.0;None;1;0;0;0
KIAD;10.0;0;0;>6000 ;19;L;CAT III;0.0;0.0;25000.0;None;1;0;0;1
KSFO;1.0;0;0;1200 ;28;R;CAT III;0.0;0.0;200.0;FG;1;0;0;0
KORD;10.0;8;300;>6000 ;27;C;CAT III;6.9;4.0;-1.0;None;1;0;0;0
KORD;10.0;8;300;>6000 ;27;R;CAT III;6.9;4.0;-1.0;None;1;0;0;0
KORD;10.0;8;300;>6000 ;28;C;CAT III;7.5;2.7;-1.0;None;1;0;0;0
KATL;8.0;4;280;>6000 ;26;R;No ILS;3.8;1.4;-1.0;None;0;0;0;1
KATL;8.0;4;280;>6000 ;27;L;No ILS;3.9;0.7;-1.0;None;0;0;0;1
KATL;8.0;4;280;>6000 ;28;X;No ILS;4.0;0.0;-1.0;None;0;0;0;1
KJFK;10.0;8;220;>6000 ;22;L;CAT III;8.0;0.0;25000.0;None;1;0;0;0
KJFK;10.0;8;220;>6000 ;22;R;CAT III;8.0;0.0;25000.0;None;1;0;0;0
KIAD;10.0;5;190;>6000 ;19;L;CAT III;5.0;0.0;9000.0;None;1;0;0;1
KJFK;10.0;6;210;>6000 ;22;L;CAT III;5.9;1.0;25000.0;None;1;0;0;0
KJFK;10.0;6;210;>6000 ;22;R;CAT III;5.9;1.0;25000.0;None;1;0;0;0
KIAD;10.0;4;150;>6000 ;19;L;CAT III;3.1;2.6;25000.0;None;1;0;0;1
KIAD;10.0;4;150;>6000 ;19;R;CAT III;3.1;2.6;25000.0;None;1;0;0;1
KSFO;0.25;3;350;1200 ;28;R;CAT III;1.0;2.8;200.0;FG;1;0;0;0
KATL;10.0;9;310;>6000 ;26;R;No ILS;5.8;6.9;-1.0;None;0;0;0;1
KATL;10.0;9;310;>6000 ;27;L;No ILS;6.9;5.8;-1.0;None;0;0;0;1
KATL;10.0;9;310;>6000 ;28;X;No ILS;7.8;4.5;-1.0;None;0;0;0;1
KORD;10.0;9;320;>6000 ;27;C;CAT III;5.8;6.9;-1.0;None;1;0;0;0
KORD;10.0;9;320;>6000 ;27;R;CAT III;5.8;6.9;-1.0;None;1;0;0;0
KORD;10.0;9;320;>6000 ;28;C;CAT III;6.9;5.8;-1.0;None;1;0;0;0
KSFO;1.0;4;290;3500 ;28;R;CAT III;3.9;0.7;200.0;FG;1;0;0;0
KATL;10.0;12;300;>6000 ;26;L;No ILS;9.2;7.7;-1.0;None;0;0;0;1
KATL;10.0;12;300;>6000 ;27;L;No ILS;10.4;6.0;-1.0;None;0;0;0;1
KATL;10.0;12;300;>6000 ;28;X;No ILS;11.3;4.1;-1.0;None;0;0;0;1
KORD;10.0;6;300;>6000 ;28;C;CAT III;5.6;2.1;-1.0;None;1;0;0;1
KORD;10.0;6;300;>6000 ;27;C;CAT III;5.2;3.0;-1.0;None;1;0;0;1
KORD;10.0;6;300;>6000 ;27;R;CAT III;5.2;3.0;-1.0;None;1;0;0;1
KIAD;10.0;6;190;>6000 ;19;L;CAT III;6.0;0.0;12000.0;None;1;0;0;1
KIAD;10.0;6;190;>6000 ;19;C;CAT III;6.0;0.0;12000.0;None;1;0;0;1
KIAD;10.0;6;190;>6000 ;19;R;CAT III;6.0;0.0;12000.0;None;1;0;0;1
KJFK;10.0;5;190;>6000 ;22;L;CAT III;4.3;2.5;23000.0;None;1;0;0;0
KJFK;10.0;5;190;>6000 ;22;R;CAT III;4.3;2.5;23000.0;None;1;0;0;0
KIAD;10.0;6;200;>6000 ;19;L;CAT III;5.9;1.0;12000.0;None;1;0;0;1
KIAD;10.0;6;200;>6000 ;19;C;CAT III;5.9;1.0;12000.0;None;1;0;0;1
KIAD;10.0;6;200;>6000 ;19;R;CAT III;5.9;1.0;12000.0;None;1;0;0;1
KSFO;2.0;0;0;>6000 ;28;R;CAT III;0.0;0.0;-1.0;None;1;0;0;0
KSFO;2.0;0;0;>6000 ;28;L;CAT III;0.0;0.0;-1.0;None;1;0;0;0
KORD;10.0;10;310;>6000 ;28;C;CAT III;8.7;5.0;-1.0;None;1;0;0;1
KORD;10.0;10;310;>6000 ;27;C;CAT III;7.7;6.4;-1.0;None;1;0;0;1
KORD;10.0;10;310;>6000 ;27;R;CAT III;7.7;6.4;-1.0;None;1;0;0;1
KATL;10.0;16;330;>6000 ;26;L;No ILS;5.5;15.0;-1.0;None;0;0;0;1
KATL;10.0;16;330;>6000 ;27;L;No ILS;8.0;13.9;-1.0;None;0;0;0;1
KATL;10.0;16;330;>6000 ;28;X;No ILS;10.3;12.3;-1.0;None;0;0;0;1
KJFK;10.0;5;190;>6000 ;22;L;CAT III;4.3;2.5;22000.0;None;1;0;0;0
KJFK;10.0;5;190;>6000 ;22;R;CAT III;4.3;2.5;22000.0;None;1;0;0;0
KSFO;5.0;3;20;>6000 ;28;R;CAT III;-0.5;3.0;-1.0;BR;1;0;0;0
KSFO;5.0;3;20;>6000 ;28;L;CAT III;-0.5;3.0;-1.0;BR;1;0;0;0
KATL;10.0;12;300;>6000 ;26;R;No ILS;9.2;7.7;-1.0;None;0;0;0;1
KATL;10.0;12;300;>6000 ;27;L;No ILS;10.4;6.0;-1.0;None;0;0;0;1
KATL;10.0;12;300;>6000 ;28;X;No ILS;11.3;4.1;-1.0;None;0;0;0;1
KORD;10.0;7;330;>6000 ;28;C;CAT III;4.5;5.4;-1.0;None;1;0;0;1
KORD;10.0;7;330;>6000 ;27;C;CAT III;3.5;6.1;-1.0;None;1;0;0;1
KORD;10.0;7;330;>6000 ;27;R;CAT III;3.5;6.1;-1.0;None;1;0;0;1
KIAD;10.0;5;230;>6000 ;19;L;CAT III;3.8;3.2;7000.0;None;1;0;0;1
KIAD;10.0;5;230;>6000 ;19;C;CAT III;3.8;3.2;7000.0;None;1;0;0;1
KIAD;10.0;5;230;>6000 ;19;R;CAT III;3.8;3.2;7000.0;None;1;0;0;1
KJFK;10.0;8;170;>6000 ;22;L;CAT III;5.1;6.1;23000.0;None;1;0;0;0
KJFK;10.0;8;170;>6000 ;22;R;CAT III;5.1;6.1;23000.0;None;1;0;0;0
KJFK;10.0;8;180;>6000 ;22;L;CAT III;6.1;5.1;23000.0;None;1;0;0;0
KJFK;10.0;8;180;>6000 ;22;R;CAT III;6.1;5.1;23000.0;None;1;0;0;0
KIAD;10.0;0;0;>6000 ;1;R;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;C;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;L;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;6;270;>6000 ;28;C;CAT III;5.9;1.0;-1.0;None;1;0;0;1
KORD;10.0;6;270;>6000 ;27;C;CAT III;6.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;6;270;>6000 ;27;R;CAT III;6.0;0.0;-1.0;None;1;0;0;1
KATL;10.0;11;300;>6000 ;26;R;No ILS;8.4;7.1;-1.0;None;0;0;0;1
KATL;10.0;11;300;>6000 ;27;L;No ILS;9.5;5.5;-1.0;None;0;0;0;1
KATL;10.0;11;300;>6000 ;28;X;No ILS;10.3;3.8;-1.0;None;0;0;0;1
KJFK;10.0;4;200;>6000 ;22;L;CAT III;3.8;1.4;23000.0;None;1;0;0;0
KJFK;10.0;4;200;>6000 ;22;R;CAT III;3.8;1.4;23000.0;None;1;0;0;0
KIAD;10.0;10;310;>6000 ;1;R;CAT III;5.0;8.7;-1.0;None;1;0;0;1
KIAD;10.0;10;310;>6000 ;1;C;CAT III;5.0;8.7;-1.0;None;1;0;0;1
KIAD;10.0;10;310;>6000 ;1;L;CAT III;5.0;8.7;-1.0;None;1;0;0;1
KATL;10.0;11;300;>6000 ;26;R;No ILS;8.4;7.1;-1.0;None;0;0;0;1
KATL;10.0;11;300;>6000 ;27;L;No ILS;9.5;5.5;-1.0;None;0;0;0;1
KATL;10.0;11;300;>6000 ;28;X;No ILS;10.3;3.8;-1.0;None;0;0;0;1
KORD;10.0;9;280;>6000 ;28;C;CAT III;9.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;9;280;>6000 ;27;C;CAT III;8.9;1.6;-1.0;None;1;0;0;1
KORD;10.0;9;280;>6000 ;27;R;CAT III;8.9;1.6;-1.0;None;1;0;0;1
KJFK;10.0;5;230;>6000 ;22;L;CAT III;4.9;0.9;14000.0;None;1;0;0;0
KJFK;10.0;5;230;>6000 ;22;R;CAT III;4.9;0.9;14000.0;None;1;0;0;0
KIAD;10.0;9;340;>6000 ;1;R;CAT III;7.8;4.5;-1.0;None;1;0;0;1
KIAD;10.0;9;340;>6000 ;1;C;CAT III;7.8;4.5;-1.0;None;1;0;0;1
KIAD;10.0;9;340;>6000 ;1;L;CAT III;7.8;4.5;-1.0;None;1;0;0;1
KATL;10.0;14;270;>6000 ;26;R;No ILS;13.8;2.4;-1.0;None;0;0;0;1
KATL;10.0;14;270;>6000 ;27;L;No ILS;14.0;0.0;-1.0;None;0;0;0;1
KATL;10.0;14;270;>6000 ;28;X;No ILS;13.8;2.4;-1.0;None;0;0;0;1
KORD;10.0;10;280;>6000 ;28;C;CAT III;10.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;10;280;>6000 ;27;C;CAT III;9.8;1.7;-1.0;None;1;0;0;1
KORD;10.0;10;280;>6000 ;27;R;CAT III;9.8;1.7;-1.0;None;1;0;0;1
KJFK;10.0;5;150;>6000 ;22;L;CAT III;1.7;4.7;11000.0;None;1;0;0;0
KJFK;10.0;5;150;>6000 ;22;R;CAT III;1.7;4.7;11000.0;None;1;0;0;0
KORD;10.0;8;250;>6000 ;28;C;CAT III;6.9;4.0;-1.0;None;1;0;0;1
KORD;10.0;8;250;>6000 ;27;C;CAT III;7.5;2.7;-1.0;None;1;0;0;1
KORD;10.0;8;250;>6000 ;27;R;CAT III;7.5;2.7;-1.0;None;1;0;0;1
KATL;10.0;12;320;>6000 ;26;R;No ILS;6.0;10.4;-1.0;None;0;0;0;1
KATL;10.0;12;320;>6000 ;27;L;No ILS;7.7;9.2;-1.0;None;0;0;0;1
KATL;10.0;12;320;>6000 ;28;X;No ILS;9.2;7.7;-1.0;None;0;0;0;1
KLAX;9.0;9;250;>6000 ;24;L;CAT III;8.9;1.6;-1.0;None;1;1;1;1
KLAX;9.0;9;250;>6000 ;25;L;CAT III;9.0;0.0;-1.0;None;1;1;1;1
KIAD;10.0;9;300;>6000 ;1;C;CAT III;3.1;8.5;-1.0;None;1;0;0;1
KIAD;10.0;8;340;>6000 ;1;R;CAT III;6.9;4.0;-1.0;None;1;0;0;1
KIAD;10.0;8;340;>6000 ;1;C;CAT III;6.9;4.0;-1.0;None;1;0;0;1
KIAD;10.0;8;340;>6000 ;1;L;CAT III;6.9;4.0;-1.0;None;1;0;0;1
KJFK;10.0;3;130;>6000 ;22;L;CAT III;0.0;3.0;10000.0;None;1;0;0;0
KJFK;10.0;3;130;>6000 ;22;R;CAT III;0.0;3.0;10000.0;None;1;0;0;0
KLAX;10.0;9;240;>6000 ;24;R;CAT III;9.0;0.0;-1.0;None;1;1;1;1
KLAX;10.0;9;240;>6000 ;25;L;CAT III;8.9;1.6;-1.0;None;1;1;1;1
KATL;10.0;13;320;>6000 ;26;R;No ILS;6.5;11.3;-1.0;None;0;0;0;1
KATL;10.0;13;320;>6000 ;27;L;No ILS;8.4;10.0;-1.0;None;0;0;0;1
KATL;10.0;13;320;>6000 ;28;X;No ILS;10.0;8.4;-1.0;None;0;0;0;1
KORD;10.0;4;280;>6000 ;28;C;CAT III;4.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;4;280;>6000 ;27;C;CAT III;3.9;0.7;-1.0;None;1;0;0;1
KORD;10.0;4;280;>6000 ;27;R;CAT III;3.9;0.7;-1.0;None;1;0;0;1
KLAX;10.0;7;240;>6000 ;24;R;CAT III;7.0;0.0;-1.0;None;1;1;1;1
KLAX;10.0;7;240;>6000 ;25;L;CAT III;6.9;1.2;-1.0;None;1;1;1;1
KJFK;10.0;3;210;>6000 ;22;L;CAT III;3.0;0.5;8000.0;None;1;0;0;0
KJFK;10.0;3;210;>6000 ;22;R;CAT III;3.0;0.5;8000.0;None;1;0;0;0
KATL;10.0;6;280;>6000 ;26;R;No ILS;5.6;2.1;-1.0;None;0;0;0;1
KATL;10.0;6;280;>6000 ;27;L;No ILS;5.9;1.0;-1.0;None;0;0;0;1
KATL;10.0;6;280;>6000 ;28;X;No ILS;6.0;0.0;-1.0;None;0;0;0;1
KORD;10.0;5;270;>6000 ;28;C;CAT III;4.9;0.9;-1.0;None;1;0;0;1
KORD;10.0;5;270;>6000 ;27;C;CAT III;5.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;5;270;>6000 ;27;R;CAT III;5.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;6;330;>6000 ;1;R;CAT III;4.6;3.9;-1.0;None;1;0;0;1
KIAD;10.0;6;330;>6000 ;1;C;CAT III;4.6;3.9;-1.0;None;1;0;0;1
KIAD;10.0;6;330;>6000 ;1;L;CAT III;4.6;3.9;-1.0;None;1;0;0;1
KJFK;10.0;11;320;>6000 ;22;L;CAT III;-1.9;10.8;-1.0;None;1;0;0;0
KJFK;10.0;11;320;>6000 ;22;R;CAT III;-1.9;10.8;-1.0;None;1;0;0;0
KATL;10.0;5;270;>6000 ;26;R;No ILS;4.9;0.9;-1.0;None;0;0;0;1
KATL;10.0;5;270;>6000 ;27;L;No ILS;5.0;0.0;-1.0;None;0;0;0;1
KATL;10.0;5;270;>6000 ;28;X;No ILS;4.9;0.9;-1.0;None;0;0;0;1
KLAX;10.0;5;240;>6000 ;24;R;CAT III;5.0;0.0;-1.0;None;1;1;1;1
KLAX;10.0;5;240;>6000 ;25;L;CAT III;4.9;0.9;-1.0;None;1;1;1;1
KIAD;10.0;0;0;>6000 ;1;R;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;C;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;L;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;0;0;>6000 ;10;C;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;0;0;>6000 ;9;L;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KLAX;10.0;3;240;>6000 ;24;R;CAT III;3.0;0.0;-1.0;None;1;1;1;1
KLAX;10.0;3;240;>6000 ;25;L;CAT III;3.0;0.5;-1.0;None;1;1;1;1
KATL;10.0;4;280;>6000 ;26;R;No ILS;3.8;1.4;-1.0;None;0;0;0;1
KATL;10.0;4;280;>6000 ;27;L;No ILS;3.9;0.7;-1.0;None;0;0;0;1
KATL;10.0;4;280;>6000 ;28;X;No ILS;4.0;0.0;-1.0;None;0;0;0;1
KJFK;10.0;7;320;>6000 ;31;R;CAT III;6.9;1.2;-1.0;None;1;0;0;1
KJFK;10.0;7;320;>6000 ;31;L;CAT III;6.9;1.2;-1.0;None;1;0;0;1
KIAD;10.0;4;330;>6000 ;1;R;CAT III;3.1;2.6;-1.0;None;1;0;0;1
KIAD;10.0;4;330;>6000 ;1;C;CAT III;3.1;2.6;-1.0;None;1;0;0;1
KIAD;10.0;4;330;>6000 ;1;L;CAT III;3.1;2.6;-1.0;None;1;0;0;1
KORD;10.0;3;230;>6000 ;10;C;CAT III;-1.9;2.3;-1.0;None;1;0;0;1
KORD;10.0;3;230;>6000 ;9;L;CAT III;-2.3;1.9;-1.0;None;1;0;0;1
KATL;10.0;5;290;>6000 ;26;R;No ILS;4.3;2.5;-1.0;None;0;0;0;1
KATL;10.0;5;290;>6000 ;27;L;No ILS;4.7;1.7;-1.0;None;0;0;0;1
KATL;10.0;5;290;>6000 ;28;X;No ILS;4.9;0.9;-1.0;None;0;0;0;1
KJFK;10.0;7;280;>6000 ;31;R;CAT III;6.1;3.5;-1.0;None;1;0;0;1
KJFK;10.0;7;280;>6000 ;31;L;CAT III;6.1;3.5;-1.0;None;1;0;0;1
KLAX;10.0;3;150;>6000 ;24;R;CAT III;0.0;3.0;-1.0;None;1;1;1;1
KLAX;10.0;3;150;>6000 ;25;L;CAT III;-0.5;3.0;-1.0;None;1;1;1;1
KORD;10.0;5;170;>6000 ;9;C;CAT III;0.9;4.9;-1.0;None;1;0;0;0
KIAD;10.0;5;340;>6000 ;1;R;CAT III;4.3;2.5;-1.0;None;1;0;0;1
KIAD;10.0;5;340;>6000 ;1;C;CAT III;4.3;2.5;-1.0;None;1;0;0;1
KIAD;10.0;5;340;>6000 ;1;L;CAT III;4.3;2.5;-1.0;None;1;0;0;1
KATL;10.0;3;270;>6000 ;26;R;No ILS;3.0;0.5;-1.0;None;0;0;0;1
KATL;10.0;3;270;>6000 ;27;L;No ILS;3.0;0.0;-1.0;None;0;0;0;1
KATL;10.0;3;270;>6000 ;28;X;No ILS;3.0;0.5;-1.0;None;0;0;0;1
KIAD;10.0;4;160;>6000 ;1;C;CAT III;-3.5;2.0;-1.0;None;1;0;0;1
KIAD;10.0;4;160;>6000 ;1;L;CAT III;-3.5;2.0;-1.0;None;1;0;0;1
KORD;10.0;0;0;>6000 ;9;C;CAT III;0.0;0.0;-1.0;None;1;0;0;0
KLAX;10.0;4;100;>6000 ;24;R;CAT III;-3.1;2.6;-1.0;None;1;1;1;1
KLAX;10.0;4;100;>6000 ;25;L;CAT III;-3.5;2.0;-1.0;None;1;1;1;1
KJFK;10.0;6;260;>6000 ;31;R;CAT III;3.9;4.6;-1.0;None;1;0;0;1
KJFK;10.0;6;260;>6000 ;31;L;CAT III;3.9;4.6;-1.0;None;1;0;0;1
KLAX;10.0;0;0;>6000 ;24;R;CAT III;0.0;0.0;-1.0;None;1;1;1;1
KLAX;10.0;0;0;>6000 ;25;L;CAT III;0.0;0.0;-1.0;None;1;1;1;1
KATL;10.0;4;280;>6000 ;26;R;No ILS;3.8;1.4;-1.0;None;0;0;0;1
KIAD;10.0;0;0;>6000 ;1;C;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;L;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KORD;10.0;0;0;>6000 ;9;C;CAT III;0.0;0.0;-1.0;None;1;0;0;0
KJFK;10.0;7;290;>6000 ;31;R;CAT III;6.6;2.4;-1.0;None;1;0;0;1
KJFK;10.0;7;290;>6000 ;31;L;CAT III;6.6;2.4;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;C;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;L;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KATL;10.0;3;250;>6000 ;26;R;No ILS;3.0;0.5;-1.0;None;0;0;0;1
KORD;10.0;0;0;>6000 ;9;C;CAT III;0.0;0.0;20000.0;None;1;0;0;0
KJFK;10.0;12;310;>6000 ;31;R;CAT III;12.0;0.0;-1.0;None;1;0;0;1
KJFK;10.0;12;310;>6000 ;31;L;CAT III;12.0;0.0;-1.0;None;1;0;0;1
KLAX;10.0;0;0;>6000 ;24;R;CAT III;0.0;0.0;-1.0;None;1;1;1;1
KLAX;10.0;0;0;>6000 ;25;L;CAT III;0.0;0.0;-1.0;None;1;1;1;1
KJFK;10.0;10;290;>6000 ;31;R;CAT III;9.4;3.4;-1.0;None;1;0;0;1
KJFK;10.0;10;290;>6000 ;31;L;CAT III;9.4;3.4;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;C;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;L;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KLAX;10.0;5;130;>6000 ;24;R;CAT III;-1.7;4.7;-1.0;None;1;1;1;1
KLAX;10.0;5;130;>6000 ;25;L;CAT III;-2.5;4.3;-1.0;None;1;1;1;1
KATL;10.0;3;260;>6000 ;26;R;No ILS;3.0;0.0;-1.0;None;0;0;0;1
KORD;10.0;0;0;>6000 ;9;R;CAT III;0.0;0.0;10000.0;None;1;0;0;0
KLAX;1.0;7;100;1800 ;24;R;CAT III;-5.4;4.5;100.0;FG;1;1;1;1
KLAX;1.0;7;100;1000 ;25;L;CAT III;-6.1;3.5;100.0;FG;1;1;1;1
KORD;10.0;5;180;>6000 ;9;C;CAT III;0.0;5.0;10000.0;None;1;0;0;0
KJFK;10.0;7;300;>6000 ;31;R;CAT III;6.9;1.2;-1.0;None;1;0;0;1
KJFK;10.0;7;300;>6000 ;31;L;CAT III;6.9;1.2;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;C;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;L;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KATL;10.0;6;310;>6000 ;26;R;No ILS;3.9;4.6;-1.0;None;0;0;0;1
KIAD;10.0;4;10;>6000 ;1;C;CAT III;4.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;4;10;>6000 ;1;L;CAT III;4.0;0.0;-1.0;None;1;0;0;1
KATL;10.0;6;310;>6000 ;26;R;No ILS;3.9;4.6;-1.0;None;0;0;0;1
KLAX;1.0;5;80;1600 ;25;L;CAT III;-4.9;0.9;100.0;FG;1;1;1;0
KORD;10.0;4;180;>6000 ;9;C;CAT III;0.0;4.0;9000.0;None;1;0;0;0
KJFK;10.0;8;280;>6000 ;31;R;CAT III;6.9;4.0;-1.0;None;1;0;0;1
KJFK;10.0;8;280;>6000 ;31;L;CAT III;6.9;4.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;C;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KIAD;10.0;0;0;>6000 ;1;L;CAT III;0.0;0.0;-1.0;None;1;0;0;1
KATL;10.0;6;300;>6000 ;26;R;No ILS;4.6;3.9;-1.0;None;0;0;0;1
KLAX;1.0;3;60;1000 ;25;L;CAT III;-3.0;0.5;100.0;FG;1;1;1;0
KJFK;10.0;10;320;>6000 ;31;R;CAT III;9.8;1.7;-1.0;None;1;0;0;1
KJFK;10.0;10;320;>6000 ;31;L;CAT III;9.8;1.7;-1.0;None;1;0;0;1
KORD;10.0;6;150;>6000 ;9;C;CAT III;3.0;5.2;8500.0;None;1;0;0;0
KORD;10.0;9;140;>6000 ;9;C;CAT III;5.8;6.9;6500.0;None;1;0;0;0
KATL;10.0;8;310;>6000 ;26;R;No ILS;5.1;6.1;-1.0;None;0;0;0;1
KATL;10.0;8;310;>6000 ;27;L;No ILS;6.1;5.1;-1.0;None;0;0;0;1
KLAX;1.0;6;80;1400▼;25;L;CAT III;-5.9;1.0;100.0;FG;1;1;1;0
KJFK;10.0;10;320;>6000 ;31;R;CAT III;9.8;1.7;-1.0;None;1;0;0;1
KJFK;10.0;10;320;>6000 ;31;L;CAT III;9.8;1.7;-1.0;None;1;0;0;1
KIAD;10.0;8;30;>6000 ;1;R;CAT III;7.5;2.7;-1.0;None;1;0;0;1
KIAD;10.0;8;30;>6000 ;1;C;CAT III;7.5;2.7;-1.0;None;1;0;0;1
KIAD;10.0;8;30;>6000 ;1;L;CAT III;7.5;2.7;-1.0;None;1;0;0;1
KJFK;10.0;9;300;>6000 ;31;R;CAT III;8.9;1.6;-1.0;None;1;0;0;1
KJFK;10.0;9;300;>6000 ;31;L;CAT III;8.9;1.6;-1.0;None;1;0;0;1
KLAX;1.0;5;100;1200 ;25;L;CAT III;-4.3;2.5;100.0;FG;1;1;1;0
KIAD;10.0;3;230;>6000 ;1;R;CAT III;-2.3;1.9;-1.0;None;1;0;0;1
KIAD;10.0;3;230;>6000 ;1;L;CAT III;-2.3;1.9;-1.0;None;1;0;0;1
KORD;10.0;6;120;>6000 ;9;L;CAT III;5.2;3.0;5000.0;- RA;1;0;0;0
KORD;10.0;6;120;>6000 ;10;C;CAT III;5.6;2.1;5000.0;- RA;1;0;0;0
KATL;10.0;7;310;>6000 ;26;R;No ILS;4.5;5.4;-1.0;None;0;0;0;1
KATL;10.0;7;310;>6000 ;27;L;No ILS;5.4;4.5;-1.0;None;0;0;0;1
